,tau,ep_base,ep_fin,politica,id,mean_eval 0,exploracion 0,mean_eval 1,exploracion 1,mean_eval 2,exploracion 2,mean_eval 3,exploracion 3,mean_eval 4,exploracion 4,mean_eval 5,exploracion 5,mean_eval 6,exploracion 6,mean_eval 7,exploracion 7,mean_eval 8,exploracion 8,mean_eval 9,exploracion 9
0,1.0,,,softmax,1,915.0,0.14609053497942387,915.0,0.14609053497942387,915.0,0.14609053497942387,915.0,0.14609053497942387,915.0,0.14609053497942387,915.0,0.14609053497942387,915.0,0.14609053497942387,915.0,0.14609053497942387,915.0,0.14609053497942387,915.0,0.14609053497942387
1,2.0,,,softmax,2,911.0,0.16255144032921812,911.0,0.16255144032921812,911.0,0.16255144032921812,911.0,0.16255144032921812,911.0,0.16255144032921812,911.0,0.16255144032921812,911.0,0.16255144032921812,911.0,0.16255144032921812,911.0,0.16255144032921812,911.0,0.16255144032921812
2,1.0,,,softmax,1,913.0,0.10699588477366255,913.0,0.10699588477366255,913.0,0.10699588477366255,913.0,0.10699588477366255,913.0,0.10699588477366255,913.0,0.10699588477366255,913.0,0.10699588477366255,913.0,0.10699588477366255,913.0,0.10699588477366255,913.0,0.10699588477366255
3,1.0,,,softmax,1,820.0,0.17695473251028807,820.0,0.17695473251028807,820.0,0.17695473251028807,820.0,0.17695473251028807,820.0,0.17695473251028807,820.0,0.17695473251028807,820.0,0.17695473251028807,820.0,0.17695473251028807,820.0,0.17695473251028807,820.0,0.17695473251028807
4,1.0,,,softmax,1,908.0,0.15637860082304528,908.0,0.15637860082304528,908.0,0.15637860082304528,908.0,0.15637860082304528,908.0,0.15637860082304528,908.0,0.15637860082304528,908.0,0.15637860082304528,908.0,0.15637860082304528,908.0,0.15637860082304528,908.0,0.15637860082304528
5,2.0,,,softmax,2,579.0,0.1646090534979424,579.0,0.1646090534979424,579.0,0.1646090534979424,579.0,0.1646090534979424,579.0,0.1646090534979424,579.0,0.1646090534979424,579.0,0.1646090534979424,579.0,0.1646090534979424,579.0,0.1646090534979424,579.0,0.1646090534979424
6,3.0,,,softmax,3,883.0,0.16255144032921812,883.0,0.16255144032921812,883.0,0.16255144032921812,883.0,0.16255144032921812,883.0,0.16255144032921812,883.0,0.16255144032921812,883.0,0.16255144032921812,883.0,0.16255144032921812,883.0,0.16255144032921812,883.0,0.16255144032921812
7,2.0,,,softmax,2,919.0,0.16255144032921812,919.0,0.16255144032921812,919.0,0.16255144032921812,919.0,0.16255144032921812,919.0,0.16255144032921812,919.0,0.16255144032921812,919.0,0.16255144032921812,919.0,0.16255144032921812,919.0,0.16255144032921812,919.0,0.16255144032921812
8,2.0,,,softmax,2,937.0,0.18724279835390947,937.0,0.19753086419753085,937.0,0.20781893004115226,937.0,0.20781893004115226,937.0,0.20987654320987653,937.0,0.20987654320987653,937.0,0.20987654320987653,937.0,0.20987654320987653,937.0,0.20987654320987653,937.0,0.20987654320987653
9,3.0,,,softmax,3,915.0,0.22633744855967078,1029.9,0.22633744855967078,915.0,0.22633744855967078,887.0,0.23045267489711935,887.0,0.23045267489711935,887.0,0.23251028806584362,915.0,0.23251028806584362,895.6,0.23251028806584362,915.0,0.23251028806584362,915.0,0.23251028806584362
10,3.0,,,softmax,3,1079.9,0.1748971193415638,936.0,0.1748971193415638,936.0,0.1748971193415638,936.0,0.1748971193415638,1080.4,0.1748971193415638,936.0,0.1748971193415638,887.8,0.1748971193415638,936.0,0.1748971193415638,1082.6,0.1748971193415638,936.0,0.17901234567901234
11,3.0,,,softmax,3,957.0,0.17901234567901234,931.0,0.19958847736625515,957.0,0.19958847736625515,957.0,0.20164609053497942,931.0,0.20164609053497942,931.0,0.20987654320987653,931.0,0.20987654320987653,931.0,0.2139917695473251,931.0,0.21604938271604937,931.0,0.21604938271604937
