,historial,memory,grupos,state_manager,algo,alpha,seed,train_mean,train_std,eval_mean,eval_std,eval_median,eval_p25,eval_p75,p_explorado
42,5.0,,,history,Q,0.1,1,861.828,166.98924940246903,648.0,0.0,648.0,648.0,648.0,0.2756183745583039
43,5.0,,,history,Q,0.1,2,848.309,167.67439136314167,1019.42,7.655298818465547,1019.5,1015.0,1026.5,0.2785630153121319
44,5.0,,,history,Q,0.1,3,842.2615,169.62303533939604,1035.5,4.243819034784589,1037.0,1033.0,1038.75,0.2797408716136631
45,5.0,,,history,SARSA,0.01,1,800.0485,164.28107057037948,919.92,0.5599999999999999,920.0,920.0,920.0,0.2756183745583039
46,5.0,,,history,SARSA,0.01,2,799.474,163.73778526656577,912.0,0.0,912.0,912.0,912.0,0.28150765606595995
47,5.0,,,history,SARSA,0.01,3,795.998,160.28533306575494,656.92,0.5599999999999999,657.0,657.0,657.0,0.28032979976442873
48,5.0,,,history,SARSA,0.05,1,807.3435,164.11007131724122,682.0,0.0,682.0,682.0,682.0,0.2773851590106007
49,5.0,,,history,SARSA,0.05,2,814.919,167.07388616716858,1008.78,6.239519212247046,1009.0,1006.0,1013.75,0.27385159010600707
50,5.0,,,history,SARSA,0.05,3,814.5545,166.63898112311537,600.92,0.5599999999999999,601.0,601.0,601.0,0.27208480565371024
51,5.0,,,history,SARSA,0.1,1,846.937,168.59279353222664,941.58,5.161743891360749,943.0,939.0,946.0,0.28209658421672557
52,5.0,,,history,SARSA,0.1,2,835.4095,168.79958178191674,904.0,0.0,904.0,904.0,904.0,0.2767962308598351
53,5.0,,,history,SARSA,0.1,3,835.9975,167.38610902267249,914.0,0.0,914.0,914.0,914.0,0.2767962308598351
54,,5.0,3.0,stats_summary,Q,0.01,1,807.7275,162.72803152422756,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
55,,5.0,3.0,stats_summary,Q,0.01,2,810.1,165.2167606509703,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
56,,5.0,3.0,stats_summary,Q,0.01,3,798.482,162.85459365949737,927.0,0.0,927.0,927.0,927.0,0.7777777777777778
57,,5.0,3.0,stats_summary,Q,0.05,1,834.9475,172.48345643495784,916.0,0.0,916.0,916.0,916.0,0.7407407407407407
58,,5.0,3.0,stats_summary,Q,0.05,2,837.216,172.81251500976427,916.0,0.0,916.0,916.0,916.0,0.7407407407407407
59,,5.0,3.0,stats_summary,Q,0.05,3,833.62,173.22139186601638,904.0,0.0,904.0,904.0,904.0,0.7407407407407407
60,,5.0,3.0,stats_summary,Q,0.1,1,834.229,174.08272332141408,916.0,0.0,916.0,916.0,916.0,0.7777777777777778
61,,5.0,3.0,stats_summary,Q,0.1,2,845.089,175.94930542346563,964.58,14.998786617590104,968.0,964.0,971.0,0.7777777777777778
62,,5.0,3.0,stats_summary,Q,0.1,3,844.364,175.50010399996918,1039.8,30.85644179097778,1041.5,1019.5,1071.75,0.7407407407407407
63,,5.0,3.0,stats_summary,SARSA,0.01,1,796.6245,159.99299828351863,916.0,0.0,916.0,916.0,916.0,0.8148148148148148
64,,5.0,3.0,stats_summary,SARSA,0.01,2,804.228,164.1716845744113,916.0,0.0,916.0,916.0,916.0,0.8148148148148148
65,,5.0,3.0,stats_summary,SARSA,0.01,3,797.4175,161.83768471450028,916.0,0.0,916.0,916.0,916.0,0.8148148148148148
