SiempreCoopera,SiempreTraiciona,Anonymous,Davis,Downing,Feld,Graaskamp,Grofman,Grudger,Joss,Nydegger,Random,Shubik,SteinRapoport,TidemanChieruzzi,TitForTat,Tullock,A2C_LSTM
0,148,199,294,285,165,247,288,116,116,288,142,160,355,294,199,93,475
294,104,201,315,143,316,187,297,297,202,261,408,315,201,99,102,324,107
288,94,175,330,264,151,293,328,151,294,330,215,89,87,211,288,196,112
306,487,202,312,276,229,184,276,312,212,2,49,154,133,306,128,159,284
261,113,256,317,246,291,182,211,108,104,297,215,282,321,282,215,332,109
312,224,204,330,330,244,59,44,164,124,273,202,312,222,273,119,149,364
117,109,77,292,99,106,192,324,324,120,300,412,300,125,324,324,217,111
300,285,55,95,285,148,287,243,294,252,300,222,294,308,307,143,305,145
264,93,239,318,279,119,279,221,330,334,330,281,279,124,279,318,249,93
303,98,65,122,318,229,287,232,303,272,267,194,318,127,305,93,83,138
324,129,222,308,327,112,184,324,319,112,327,88,217,104,93,179,184,98
309,295,436,138,273,258,334,223,273,138,171,55,98,174,312,312,159,103
258,111,65,285,309,303,339,285,325,106,2,263,288,135,130,288,248,527
276,306,152,149,276,149,257,36,105,150,279,92,128,133,302,279,140,110
294,108,73,294,293,103,60,254,273,146,288,227,227,358,146,273,314,220
147,133,432,83,91,128,317,273,135,162,142,382,157,140,273,317,128,101
0,530,50,148,300,141,171,324,332,331,281,57,324,196,141,300,138,270
0,148,254,273,246,195,266,273,135,135,273,136,190,306,273,254,93,490
