estrategia,n_torneo,perdida,exploracion,puntaje_torneo,puntaje_acumulado,seed
A2C_LSTM,80,-0.00021512688545044512,,0,[35266],2
A2C_LSTM,81,-0.000137175724375993,,0,[34520],2
A2C_LSTM,82,-6.974840289331041e-06,,0,[35002],2
A2C_LSTM,83,-2.29638499149587e-05,,0,[35627],2
A2C_LSTM,84,0.0872538834810257,,0,[34750],2
A2C_LSTM,85,0.00018833503418136388,,0,[34796],2
A2C_LSTM,86,-2.0175231838948093e-05,,0,[34674],2
A2C_LSTM,87,-6.061016028979793e-05,,0,[34952],2
A2C_LSTM,88,-0.0001313881657551974,,0,[38379],2
A2C_LSTM,89,-7.145546987885609e-05,,0,[34809],2
A2C_LSTM,90,-1.5160899238253478e-05,,0,[34898],2
A2C_LSTM,91,0.08208248019218445,,0,[34713],2
A2C_LSTM,92,-0.0004854396975133568,,0,[34825],2
A2C_LSTM,93,-5.620775482384488e-05,,0,[35171],2
A2C_LSTM,94,-0.0005206636269576848,,0,[35133],2
A2C_LSTM,95,0.5071471333503723,,0,[34247],2
A2C_LSTM,96,-1.2753348528349306e-05,,0,[34522],2
A2C_LSTM,97,-0.0003892655367963016,,0,[33994],2
A2C_LSTM,98,-0.000181086958036758,,0,[34924],2
A2C_LSTM,99,-0.00010308562923455611,,0,[34767],2
A2C_LSTM,100,-2.6991235699824756e-06,,0,[35484],2
A2C_LSTM,1,-0.0001377428852720186,,0,[34003],1
A2C_LSTM,2,4.704262733459473,,0,[35074],1
A2C_LSTM,3,-1.1668848287627043e-07,,0,[34572],1
A2C_LSTM,4,-1.6014755601645447e-05,,0,[35055],1
A2C_LSTM,5,-0.00015745901328045875,,0,[34373],1
A2C_LSTM,6,-0.0005283670616336167,,0,[34243],1
A2C_LSTM,7,-0.0004236013919580728,,0,[34433],1
A2C_LSTM,8,-0.0003537568845786154,,0,[34793],1
A2C_LSTM,9,-5.585352482739836e-05,,0,[34854],1
A2C_LSTM,10,-3.064024349441752e-05,,0,[34382],1
A2C_LSTM,11,0.004659498576074839,,0,[35490],1
A2C_LSTM,12,-0.0002559098065830767,,0,[34748],1
A2C_LSTM,13,0.5803507566452026,,0,[34586],1
A2C_LSTM,14,0.035893503576517105,,0,[34775],1
A2C_LSTM,15,-2.2370131773641333e-05,,0,[34523],1
A2C_LSTM,16,-4.699335477198474e-05,,0,[35223],1
A2C_LSTM,17,-0.0004366206703707576,,0,[34528],1
A2C_LSTM,18,-0.0001718209678074345,,0,[35411],1
A2C_LSTM,19,1.2354520559310913,,0,[34511],1
A2C_LSTM,20,-0.00015970626554917544,,0,[35143],1
A2C_LSTM,21,0.09849712252616882,,0,[35169],1
A2C_LSTM,22,-0.0002110406494466588,,0,[34440],1
A2C_LSTM,23,-0.0001468930277042091,,0,[35497],1
A2C_LSTM,24,-0.0001083526003640145,,0,[34418],1
A2C_LSTM,25,-5.133488230057992e-05,,0,[34811],1
A2C_LSTM,26,-2.940285594377201e-05,,0,[34670],1
A2C_LSTM,27,-8.436999632976949e-05,,0,[34480],1
A2C_LSTM,28,0.03572433069348335,,0,[34492],1
A2C_LSTM,29,0.03029773384332657,,0,[34566],1
A2C_LSTM,30,-0.00017541470879223198,,0,[34938],1
A2C_LSTM,31,0.058157648891210556,,0,[34986],1
A2C_LSTM,32,-0.00021601186017505825,,0,[35323],1
A2C_LSTM,33,-0.0004406637162901461,,0,[35272],1
A2C_LSTM,34,-0.0004058611812070012,,0,[35066],1
A2C_LSTM,35,-0.0001818356686271727,,0,[34771],1
A2C_LSTM,36,-6.056608253857121e-05,,0,[34036],1
A2C_LSTM,37,-9.506977221462876e-05,,0,[35047],1
A2C_LSTM,38,-0.00033554938272573054,,0,[34703],1
A2C_LSTM,39,-2.4053659217315726e-05,,0,[35003],1
A2C_LSTM,40,-5.7960747653851286e-05,,0,[34615],1
A2C_LSTM,41,-0.00012048593634972349,,0,[34832],1
A2C_LSTM,42,0.6904341578483582,,0,[34855],1
A2C_LSTM,43,-0.00010171724716201425,,0,[34949],1
A2C_LSTM,44,-0.00021989036758895963,,0,[34638],1
A2C_LSTM,45,0.0002593737153802067,,0,[34812],1
A2C_LSTM,46,-2.3292031983146444e-05,,0,[35606],1
A2C_LSTM,47,-5.949491969658993e-05,,0,[34503],1
A2C_LSTM,48,9.568163871765137,,0,[34782],1
