estrategia,n_torneo,perdida,exploracion,puntaje_torneo,puntaje_acumulado,seed
DeepQNetwork,100,1.3349640369415283,,0,[41572],3
DeepQNetwork,1,0.0021613796707242727,,0,[33672],1
DeepQNetwork,2,0.035978104919195175,,0,[35751],1
DeepQNetwork,3,0.34021633863449097,,0,[38406],1
DeepQNetwork,4,0.05021010339260101,,0,[37077],1
DeepQNetwork,5,7.30638313293457,,0,[40498],1
DeepQNetwork,6,0.017774751409888268,,0,[36879],1
DeepQNetwork,7,0.003974288236349821,,0,[31302],1
DeepQNetwork,8,0.08880714327096939,,0,[37255],1
DeepQNetwork,9,0.05517461523413658,,0,[37190],1
DeepQNetwork,10,0.07996643334627151,,0,[42885],1
DeepQNetwork,11,0.04660331830382347,,0,[34674],1
DeepQNetwork,12,3.7184391021728516,,0,[34910],1
DeepQNetwork,13,0.00794584397226572,,0,[37343],1
DeepQNetwork,14,0.029326271265745163,,0,[35554],1
DeepQNetwork,15,0.0069257826544344425,,0,[33130],1
DeepQNetwork,16,0.03935808688402176,,0,[33971],1
DeepQNetwork,17,0.023226747289299965,,0,[36177],1
DeepQNetwork,18,0.07139217108488083,,0,[35377],1
DeepQNetwork,19,0.06743503361940384,,0,[35832],1
DeepQNetwork,20,0.060830336064100266,,0,[36932],1
DeepQNetwork,21,0.0013200335670262575,,0,[38126],1
DeepQNetwork,22,0.012450745329260826,,0,[35877],1
DeepQNetwork,23,0.02060188725590706,,0,[32099],1
DeepQNetwork,24,0.09758570045232773,,0,[38325],1
DeepQNetwork,25,0.04578018561005592,,0,[32398],1
DeepQNetwork,26,0.051383115351200104,,0,[35402],1
DeepQNetwork,27,0.04815564677119255,,0,[39874],1
DeepQNetwork,28,0.030477218329906464,,0,[36041],1
DeepQNetwork,29,0.021058788523077965,,0,[36183],1
DeepQNetwork,30,0.009596174582839012,,0,[36083],1
DeepQNetwork,31,0.0022431507240980864,,0,[39300],1
DeepQNetwork,32,0.04863195866346359,,0,[35787],1
DeepQNetwork,33,0.09703037142753601,,0,[40302],1
DeepQNetwork,34,0.04774266481399536,,0,[37866],1
DeepQNetwork,35,0.0282901618629694,,0,[36285],1
DeepQNetwork,36,0.07915174961090088,,0,[37621],1
DeepQNetwork,37,0.030066169798374176,,0,[38033],1
DeepQNetwork,38,0.0006242935778573155,,0,[38607],1
DeepQNetwork,39,0.03412320464849472,,0,[36764],1
DeepQNetwork,40,0.049635741859674454,,0,[40092],1
DeepQNetwork,41,0.0006618903134949505,,0,[42130],1
