,estrategia,n_torneo,perdida,exploracion,puntaje_torneo,puntaje_acumulado,seed
0,DuelingDQN,1,0.1338767558336258,,0,[7086],1
1,DuelingDQN,2,0.4575802981853485,,0,[8391],1
2,DuelingDQN,3,0.4735003113746643,,0,[8374],1
3,DuelingDQN,4,0.2266008406877517,,0,[8934],1
4,DuelingDQN,5,0.6385174989700317,,0,[8968],1
5,DuelingDQN,6,0.3678414523601532,,0,[8937],1
6,DuelingDQN,7,0.351889431476593,,0,[8926],1
7,DuelingDQN,8,0.3663839399814605,,0,[8930],1
8,DuelingDQN,9,0.1496124416589737,,0,[8889],1
9,DuelingDQN,10,0.1067085564136505,,0,[8959],1
10,DuelingDQN,11,0.2852528691291809,,0,[8795],1
11,DuelingDQN,12,0.1534777581691742,,0,[8780],1
12,DuelingDQN,13,0.0453932508826255,,0,[8906],1
13,DuelingDQN,14,0.0814537554979324,,0,[8738],1
14,DuelingDQN,15,0.1801418662071228,,0,[8863],1
15,DuelingDQN,16,0.1165757030248642,,0,[8916],1
16,DuelingDQN,17,0.0583138912916183,,0,[8801],1
17,DuelingDQN,18,0.1408893465995788,,0,[8795],1
18,DuelingDQN,19,0.1550108641386032,,0,[8954],1
19,DuelingDQN,20,0.0767714530229568,,0,[8899],1
20,DuelingDQN,21,0.2289124876260757,,0,[9101],1
21,DuelingDQN,22,0.0760944634675979,,0,[8758],1
22,DuelingDQN,23,0.2721911072731018,,0,[8922],1
23,DuelingDQN,24,0.0888593047857284,,0,[8844],1
24,DuelingDQN,25,0.1193310469388961,,0,[8965],1
25,DuelingDQN,26,0.2738559544086456,,0,[8818],1
26,DuelingDQN,27,0.295057475566864,,0,[8939],1
27,DuelingDQN,28,0.1100559383630752,,0,[9059],1
28,DuelingDQN,29,0.1143179386854171,,0,[8997],1
29,DuelingDQN,30,0.0506398044526577,,0,[9111],1
30,DuelingDQN,31,0.0993240028619766,,0,[8948],1
31,DuelingDQN,32,0.2583870887756347,,0,[9038],1
32,DuelingDQN,33,0.0640556067228317,,0,[9001],1
33,DuelingDQN,34,0.1115051880478859,,0,[9330],1
34,DuelingDQN,35,0.3631751835346222,,0,[9145],1
35,DuelingDQN,36,0.2423180043697357,,0,[9094],1
36,DuelingDQN,37,0.0565881505608558,,0,[9232],1
37,DuelingDQN,38,0.10507183521986,,0,[9000],1
38,DuelingDQN,39,0.0422984212636947,,0,[9170],1
39,DuelingDQN,40,0.1814444363117218,,0,[9389],1
40,DuelingDQN,1,0.0891637504100799,,0,[7618],2
41,DuelingDQN,2,0.420521080493927,,0,[7287],2
42,DuelingDQN,3,0.3169996738433838,,0,[7888],2
43,DuelingDQN,4,0.7183687686920166,,0,[7700],2
44,DuelingDQN,5,0.94894140958786,,0,[7864],2
45,DuelingDQN,6,1.0804693698883057,,0,[7611],2
46,DuelingDQN,7,0.8403201103210449,,0,[8049],2
47,DuelingDQN,8,0.6762348413467407,,0,[8814],2
48,DuelingDQN,9,0.534608006477356,,0,[8857],2
49,DuelingDQN,10,1.1351643800735474,,0,[8971],2
50,DuelingDQN,11,0.668559730052948,,0,[8948],2
51,DuelingDQN,12,0.2422847300767898,,0,[8823],2
52,DuelingDQN,13,0.3991984724998474,,0,[8960],2
53,DuelingDQN,14,0.3456743955612182,,0,[8923],2
54,DuelingDQN,15,0.3510552048683166,,0,[8886],2
55,DuelingDQN,16,0.1919876337051391,,0,[9049],2
56,DuelingDQN,17,0.0976125299930572,,0,[9051],2
57,DuelingDQN,18,0.3326439559459686,,0,[8839],2
58,DuelingDQN,19,0.1318319588899612,,0,[8881],2
59,DuelingDQN,20,0.1088627949357032,,0,[8772],2
60,DuelingDQN,21,0.1124627888202667,,0,[8998],2
61,DuelingDQN,22,0.1125990971922874,,0,[8858],2
62,DuelingDQN,23,0.1958802044391632,,0,[8941],2
63,DuelingDQN,24,0.1051149070262909,,0,[9003],2
64,DuelingDQN,25,0.1052944660186767,,0,[8835],2
65,DuelingDQN,26,0.1129824221134185,,0,[9009],2
66,DuelingDQN,27,0.1953089237213134,,0,[9165],2
67,DuelingDQN,28,0.093234546482563,,0,[9199],2
68,DuelingDQN,29,0.099881611764431,,0,[8964],2
69,DuelingDQN,30,0.1315823495388031,,0,[8992],2
70,DuelingDQN,31,0.1130648106336593,,0,[9185],2
71,DuelingDQN,32,0.0910000130534172,,0,[9107],2
72,DuelingDQN,33,0.1050856113433837,,0,[9123],2
73,DuelingDQN,34,0.0942737013101577,,0,[9231],2
74,DuelingDQN,35,0.2031650394201278,,0,[9286],2
75,DuelingDQN,36,0.0512089394032955,,0,[9012],2
76,DuelingDQN,37,0.0746355205774307,,0,[8966],2
77,DuelingDQN,38,0.2845161259174347,,0,[9390],2
78,DuelingDQN,39,0.0390035659074783,,0,[9346],2
79,DuelingDQN,40,0.0856319069862365,,0,[9286],2
80,DuelingDQN,1,0.1925594210624694,,0,[6893],3
81,DuelingDQN,2,0.3460400700569153,,0,[6957],3
82,DuelingDQN,3,0.3889444172382355,,0,[6959],3
83,DuelingDQN,4,0.3944317102432251,,0,[7153],3
84,DuelingDQN,5,0.6515270471572876,,0,[7764],3
85,DuelingDQN,6,0.4739546775817871,,0,[7856],3
86,DuelingDQN,7,0.4779282212257385,,0,[7665],3
87,DuelingDQN,8,0.3710966408252716,,0,[7802],3
88,DuelingDQN,9,0.8652700185775757,,0,[8229],3
89,DuelingDQN,10,0.4644971787929535,,0,[8329],3
90,DuelingDQN,11,0.4181788563728332,,0,[8318],3
91,DuelingDQN,12,0.623751163482666,,0,[8507],3
92,DuelingDQN,13,0.4035236239433288,,0,[8507],3
93,DuelingDQN,14,0.4485509097576141,,0,[8564],3
94,DuelingDQN,15,0.4540331363677978,,0,[8084],3
95,DuelingDQN,16,0.6306066513061523,,0,[8641],3
96,DuelingDQN,17,0.627845287322998,,0,[8524],3
97,DuelingDQN,18,0.9087103605270386,,0,[8455],3
98,DuelingDQN,19,0.5421786904335022,,0,[8358],3
99,DuelingDQN,20,1.3427581787109375,,0,[8253],3
100,DuelingDQN,21,1.1670310497283936,,0,[8371],3
101,DuelingDQN,22,0.5786420106887817,,0,[8331],3
102,DuelingDQN,23,0.264210045337677,,0,[8488],3
103,DuelingDQN,24,0.3263988196849823,,0,[7572],3
104,DuelingDQN,25,0.7072570323944092,,0,[8141],3
105,DuelingDQN,26,0.619108259677887,,0,[8106],3
106,DuelingDQN,27,0.5749287605285645,,0,[8108],3
107,DuelingDQN,28,1.108616828918457,,0,[8129],3
108,DuelingDQN,29,0.3067496418952942,,0,[8200],3
109,DuelingDQN,30,0.499531477689743,,0,[8617],3
110,DuelingDQN,31,0.6597617864608765,,0,[8577],3
111,DuelingDQN,32,0.7186954021453857,,0,[8403],3
112,DuelingDQN,33,1.0588382482528689,,0,[8654],3
113,DuelingDQN,34,0.467651754617691,,0,[8552],3
114,DuelingDQN,35,1.3887768983840942,,0,[8369],3
115,DuelingDQN,36,0.5884844064712524,,0,[8322],3
