SiempreCoopera,SiempreTraiciona,Anonymous,Davis,Downing,Feld,Graaskamp,Grofman,Grudger,Joss,Nydegger,Random,Shubik,SteinRapoport,TidemanChieruzzi,TitForTat,Tullock,A2C_LSTM
3,148,199,294,285,165,247,288,116,116,288,142,160,355,294,199,93,473
294,104,201,315,143,316,187,297,297,202,261,408,315,201,99,105,324,110
288,94,175,330,264,151,293,328,151,294,330,215,89,99,211,288,196,124
306,487,202,312,276,229,184,276,312,212,2,46,154,133,306,128,159,286
261,113,256,317,246,291,182,211,108,113,297,217,282,321,282,212,332,118
327,284,211,273,273,251,59,45,143,119,321,184,327,204,321,114,128,360
105,98,88,288,88,101,180,312,330,125,273,385,273,120,330,312,220,106
321,327,42,102,297,152,273,240,300,268,321,233,300,300,293,147,317,137
285,106,212,282,285,129,324,185,315,340,315,300,319,129,285,282,207,106
303,107,88,132,291,249,332,214,303,249,297,214,291,137,283,102,87,137
291,111,249,310,291,139,174,291,304,139,291,90,249,86,109,196,201,109
294,276,410,137,279,278,314,248,279,137,140,46,111,278,282,282,248,111
231,97,61,294,273,301,298,294,296,92,5,225,315,123,118,315,235,480
288,344,159,163,288,163,314,39,116,154,306,68,117,122,293,306,149,111
294,108,73,294,293,103,60,254,273,146,288,227,227,358,146,273,314,220
147,133,432,83,99,128,317,273,135,162,142,382,157,140,273,317,128,99
0,530,51,148,300,141,171,324,332,331,281,57,324,196,141,300,138,271
0,148,254,273,246,195,266,273,135,135,273,136,190,306,273,254,93,490
